time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-05-22,2024-05-22 08:00,ZALA,,Zaporizhzhia oblast,,,1.0,1,pvkshid/posts/pfbid025HV8V7xtsagoCu8G6uCYknEiByDaeJk8uet2pZHBNTA6YBmp2BQnZEp6g89enzzAl
2024-05-22,2024-05-22 08:00,X-59/X-69,,Zaporizhzhia oblast,,,1.0,1,pvkshid/posts/pfbid025HV8V7xtsagoCu8G6uCYknEiByDaeJk8uet2pZHBNTA6YBmp2BQnZEp6g89enzzAl
2024-05-22,2024-05-22 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Crimea,Ukraine,"{'Odesa oblast': 2, 'Mykolaiv oblast': 10, 'Kherson oblast': 1,     'Dnipropetrovsk oblast': 3, 'Zaporizhzhia oblast': 1, 'Donetsk oblast': 1, 'Sumy oblast': NaN}",,24.0,24,kpszsu/posts/pfbid02igQ3YsMtT8nFt8rfS6QwA8itwSqLJd7VgBD4ajvf2BsGsRs9tvUsVUuJex5HUfGNl
2024-05-22,2024-05-22 08:00,Orlan-10,,"Dnipropetrovsk oblast, Kamianske Raion",,,1.0,1,pvkshid/posts/pfbid02QTu9jVhFF29ReEXQvVVxs2HVuzPdPrhqkTUrvSTMS2Y3Btr3s6nrZ81EVMfS16JHl
2024-05-22,2024-05-22,Orlan-10,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid0rXhNoV2fwBk9SFAxBaDabewLSALunwykVhs4rReum7y6yikaPnaK3bXgeBoEZFpJl
2024-05-21,2024-05-21 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Chauda, Crimea",Ukraine,"{'Odesa oblast': 14, 'Kherson oblast': 3, 'Mykolaiv oblast': 1,     'Dnipropetrovsk oblast': 2, 'Kharkiv oblast': 5, 'Kirovohrad oblast': NaN, 'Cherkasy oblast': NaN}",,29.0,28,kpszsu/posts/pfbid0dTLgsDbFynjLfouWCdX3SU7vE2Q1Zc8ftN8yTHi4hcrFM3DC7aL5iwNjCBewKLBUl
2024-05-20 11:00,2024-05-20 11:00,X-59/X-69,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid02w39G2WQZfNqxeT6LN4x2vtP56cxPKwge5s1ziD5mDTBGQjQEFhEL3QhWeeg4wF9ol
2024-05-20,2024-05-20 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,Ukraine,"{'Odesa oblast': 16, 'Mykolaiv oblast': 1, 'Poltava oblast': 9, 'Lviv oblast': 3}",,29.0,29,kpszsu/posts/pfbid0dTLgsDbFynjLfouWCdX3SU7vE2Q1Zc8ftN8yTHi4hcrFM3DC7aL5iwNjCBewKLBUl
2024-05-20,2024-05-20 08:00,Orlan-10,,Odesa oblast,,,2.0,2,PvKPivden/posts/pfbid0DWqqtVtegs3McvoZPzNZqYjMZbabPBNeJ9ui6hgx7qfckAqgyt5NuvZDjHvAKSeXl
2024-05-20,2024-05-20 08:00,Iskander-M,,Kharkiv oblast,,,1.0,0,kpszsu/posts/pfbid0dTLgsDbFynjLfouWCdX3SU7vE2Q1Zc8ftN8yTHi4hcrFM3DC7aL5iwNjCBewKLBUl
